Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,46.704429626464844,47.71369552612305,45.08753967285156,45.13903045654297,42.68387985229492,1269874
2020-09-24,45.01544952392578,47.260555267333984,43.94438552856445,46.06591033935547,43.560340881347656,1268029
2020-09-25,45.5921745300293,47.857879638671875,45.49948501586914,47.8063850402832,45.20615005493164,1121602
2020-09-28,49.14521026611328,50.46343994140625,48.74356460571289,49.71163558959961,47.007774353027344,906137
2020-09-29,49.20700454711914,49.402679443359375,46.930999755859375,47.91967010498047,45.5919075012207,1042951
2020-09-30,48.496395111083984,49.15550994873047,47.13697052001953,47.75489044189453,45.43513107299805,1195010
2020-10-01,47.8372802734375,49.0422248840332,46.99279022216797,48.702369689941406,46.336585998535156,1227344
2020-10-02,46.869205474853516,51.02986526489258,46.869205474853516,50.834190368652344,48.36484909057617,1587682
2020-10-05,51.596290588378906,51.95674514770508,49.61894989013672,50.72090530395508,48.2570686340332,1015181
2020-10-06,51.32852554321289,53.31616973876953,50.659114837646484,51.41091537475586,48.91355895996094,1723816
2020-10-07,51.658084869384766,53.141090393066406,51.24613952636719,52.24510955810547,49.707237243652344,1158306
2020-10-08,52.358394622802734,54.788875579833984,52.296600341796875,54.57260513305664,51.921669006347656,1138983
2020-10-09,55.01544952392578,55.01544952392578,52.4716796875,52.976314544677734,50.40291976928711,1064507
2020-10-12,52.87332534790039,52.87332534790039,51.55509948730469,52.203914642333984,49.66803741455078,977700
2020-10-13,51.55509948730469,52.203914642333984,48.98043441772461,49.011329650878906,46.63053512573242,1230451
2020-10-14,48.77445983886719,49.6910400390625,48.238929748535156,48.67147445678711,46.30718994140625,912740
2020-10-15,47.878475189208984,49.382080078125,47.57981491088867,48.75386047363281,46.38557815551758,1023531
2020-10-16,48.547889709472656,49.20700454711914,47.57981491088867,48.71266555786133,46.34638214111328,833701
2020-10-19,48.82595443725586,49.14521026611328,46.90010452270508,46.97219467163086,44.690460205078125,1243074
2020-10-20,47.68280029296875,48.76416015625,47.5283203125,47.857879638671875,45.533119201660156,1051787
2020-10-21,47.51802444458008,47.99176025390625,46.642635345458984,47.45623016357422,45.150978088378906,1273564
2020-10-22,48.43460464477539,48.877445220947266,46.68383026123047,48.1153450012207,45.778079986572266,1257736
2020-10-23,48.37281036376953,48.99073028564453,47.50772476196289,48.805355072021484,46.434566497802734,751748
2020-10-26,48.259525299072266,48.259525299072266,46.13800048828125,47.239959716796875,44.945213317871094,1387365
2020-10-27,46.99279022216797,47.60041046142578,44.64469528198242,44.75798034667969,42.58380126953125,2071823
2020-10-28,43.64572525024414,43.96498489379883,41.678680419921875,43.26467514038086,41.16303634643555,2736569
2020-10-29,42.7497444152832,44.34603500366211,42.10092544555664,42.893924713134766,41.09889602661133,2420509
2020-10-30,42.821834564208984,44.284244537353516,42.224510192871094,44.08856964111328,42.24354553222656,1579040
2020-11-02,44.86096954345703,46.694129943847656,43.80020523071289,46.65293502807617,44.70060348510742,1267446
2020-11-03,47.53861999511719,49.82492446899414,46.858909606933594,49.25849533081055,47.197120666503906,1584187
2020-11-04,48.13594055175781,48.57878494262695,46.2615852355957,46.37487030029297,44.434173583984375,1905296
2020-11-05,46.694129943847656,47.88877487182617,46.52935028076172,46.74562454223633,44.78940963745117,969446
2020-11-06,46.80741500854492,47.621009826660156,44.222450256347656,45.12873458862305,43.24018096923828,1608170
2020-11-09,55.056644439697266,63.02780532836914,54.17095947265625,61.79196548461914,59.20608901977539,8185918
2020-11-10,61.2667350769043,64.1915512084961,56.76622009277344,58.83625030517578,56.37406539916992,4119662
2020-11-11,58.44490051269531,58.58908462524414,55.65396499633789,57.312049865722656,54.91365051269531,2046577
2020-11-12,55.60247039794922,57.239959716796875,53.16168975830078,53.686920166015625,51.440223693847656,2017544
2020-11-13,54.593204498291016,57.14727020263672,54.3563346862793,56.44696044921875,54.08476257324219,1776347
2020-11-16,60.85478973388672,61.585994720458984,56.8795051574707,58.393409729003906,55.94976043701172,1946661
2020-11-17,57.857879638671875,62.96601486206055,57.013389587402344,62.059730529785156,59.462650299072266,2286511
2020-11-18,62.33779525756836,62.986610412597656,58.90834045410156,58.92893981933594,56.46287536621094,1053729
2020-11-19,59.011329650878906,60.91658020019531,58.21833038330078,59.68074035644531,57.1832160949707,882736
2020-11-20,59.36148452758789,60.751800537109375,59.08341979980469,60.5870246887207,58.051570892333984,1199768
2020-11-23,61.349124908447266,63.24407958984375,60.23686981201172,62.46138000488281,59.84748840332031,2043372
2020-11-24,64.16065979003906,67.48712921142578,63.47064971923828,63.93408966064453,61.258567810058594,2350306
2020-11-25,63.532440185546875,63.841400146484375,61.80226516723633,62.49227523803711,59.87709426879883,1301626
2020-11-27,62.605560302734375,63.09989547729492,61.277034759521484,62.358394622802734,60.04071044921875,464818
2020-11-30,61.99794006347656,62.842430114746094,59.43357467651367,59.629249572753906,57.41299819946289,1802079
